failure_category,method,count
neutral,intercept_only,48
neutral,temperature,18
brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,intercept_only,12
brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,intercept_slope,10
mce_degraded,temperature,10
brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,isotonic,9
mce_degraded,intercept_only,8
brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,platt,7
neutral,platt,4
brier_degraded|ece_degraded|ece_severe,platt,4
brier_degraded|ece_degraded|ece_severe,intercept_only,4
ece_degraded,temperature,3
brier_degraded|ece_degraded|ece_severe,isotonic,3
brier_degraded|ece_degraded,platt,3
brier_degraded|ece_degraded|ece_severe|mce_degraded,intercept_only,3
ece_degraded|mce_degraded|mce_severe,temperature,3
mce_degraded|mce_severe,intercept_only,3
neutral,intercept_slope,3
ece_degraded,intercept_only,3
ece_degraded|mce_degraded,temperature,3
brier_degraded|ece_degraded|mce_degraded|mce_severe,intercept_slope,2
brier_degraded|ece_degraded,isotonic,2
brier_degraded|ece_degraded,intercept_slope,2
mce_degraded,isotonic,2
mce_degraded,platt,2
mce_degraded|mce_severe,intercept_slope,2
mce_degraded|mce_severe,isotonic,2
brier_degraded,temperature,1
brier_degraded,isotonic,1
brier_degraded|ece_degraded|ece_severe|mce_degraded,intercept_slope,1
brier_degraded|ece_degraded|ece_severe,intercept_slope,1
brier_degraded|ece_degraded|ece_severe|mce_degraded,isotonic,1
brier_degraded|ece_degraded|ece_severe|mce_degraded,platt,1
ece_degraded|mce_degraded|mce_severe,isotonic,1
ece_degraded|mce_degraded|mce_severe,intercept_slope,1
ece_degraded,intercept_slope,1
brier_degraded|ece_degraded|mce_degraded|mce_severe,intercept_only,1
brier_degraded|mce_degraded,platt,1
brier_degraded|mce_degraded|mce_severe,intercept_slope,1
brier_degraded|ece_degraded|mce_degraded,isotonic,1
brier_degraded|ece_degraded|mce_degraded,platt,1
ece_degraded|ece_severe,temperature,1
ece_degraded,platt,1
mce_degraded,intercept_slope,1
mce_degraded|mce_severe,platt,1
mce_degraded|mce_severe,temperature,1
neutral,isotonic,1
