dataset_direction,method,improved,n,pct_improved
cleveland+hungary+switzerland+va__to__kaggle,intercept_only,0,8,0.00
cleveland+hungary+switzerland+va__to__kaggle,intercept_slope,8,8,100.00
cleveland+hungary+switzerland+va__to__kaggle,isotonic,8,8,100.00
cleveland+hungary+switzerland+va__to__kaggle,platt,8,8,100.00
cleveland+hungary+switzerland+va__to__kaggle,temperature,8,8,100.00
cleveland+hungary+switzerland__to__va,intercept_only,0,4,0.00
cleveland+hungary+switzerland__to__va,intercept_slope,0,4,0.00
cleveland+hungary+switzerland__to__va,isotonic,0,4,0.00
cleveland+hungary+switzerland__to__va,platt,0,4,0.00
cleveland+hungary+switzerland__to__va,temperature,1,4,25.00
cleveland+hungary+va__to__switzerland,intercept_only,4,4,100.00
cleveland+hungary+va__to__switzerland,intercept_slope,4,4,100.00
cleveland+hungary+va__to__switzerland,isotonic,4,4,100.00
cleveland+hungary+va__to__switzerland,platt,4,4,100.00
cleveland+hungary+va__to__switzerland,temperature,1,4,25.00
cleveland+switzerland+va__to__hungary,intercept_only,4,4,100.00
cleveland+switzerland+va__to__hungary,intercept_slope,4,4,100.00
cleveland+switzerland+va__to__hungary,isotonic,4,4,100.00
cleveland+switzerland+va__to__hungary,platt,4,4,100.00
cleveland+switzerland+va__to__hungary,temperature,1,4,25.00
cleveland__to__hungary,intercept_only,4,4,100.00
cleveland__to__hungary,intercept_slope,4,4,100.00
cleveland__to__hungary,isotonic,4,4,100.00
cleveland__to__hungary,platt,4,4,100.00
cleveland__to__hungary,temperature,1,4,25.00
cleveland__to__kaggle,intercept_only,0,8,0.00
cleveland__to__kaggle,intercept_slope,8,8,100.00
cleveland__to__kaggle,isotonic,8,8,100.00
cleveland__to__kaggle,platt,8,8,100.00
cleveland__to__kaggle,temperature,8,8,100.00
cleveland__to__switzerland,intercept_only,4,4,100.00
cleveland__to__switzerland,intercept_slope,4,4,100.00
cleveland__to__switzerland,isotonic,4,4,100.00
cleveland__to__switzerland,platt,4,4,100.00
cleveland__to__switzerland,temperature,0,4,0.00
cleveland__to__va,intercept_only,0,4,0.00
cleveland__to__va,intercept_slope,1,4,25.00
cleveland__to__va,isotonic,1,4,25.00
cleveland__to__va,platt,1,4,25.00
cleveland__to__va,temperature,2,4,50.00
hungary+switzerland+va__to__cleveland,intercept_only,3,4,75.00
hungary+switzerland+va__to__cleveland,intercept_slope,4,4,100.00
hungary+switzerland+va__to__cleveland,isotonic,4,4,100.00
hungary+switzerland+va__to__cleveland,platt,4,4,100.00
hungary+switzerland+va__to__cleveland,temperature,3,4,75.00
hungary__to__cleveland,intercept_only,1,4,25.00
hungary__to__cleveland,intercept_slope,1,4,25.00
hungary__to__cleveland,isotonic,1,4,25.00
hungary__to__cleveland,platt,2,4,50.00
hungary__to__cleveland,temperature,1,4,25.00
hungary__to__kaggle,intercept_only,0,8,0.00
hungary__to__kaggle,intercept_slope,8,8,100.00
hungary__to__kaggle,isotonic,8,8,100.00
hungary__to__kaggle,platt,8,8,100.00
hungary__to__kaggle,temperature,8,8,100.00
hungary__to__switzerland,intercept_only,4,4,100.00
hungary__to__switzerland,intercept_slope,4,4,100.00
hungary__to__switzerland,isotonic,4,4,100.00
hungary__to__switzerland,platt,4,4,100.00
hungary__to__switzerland,temperature,3,4,75.00
hungary__to__va,intercept_only,1,4,25.00
hungary__to__va,intercept_slope,0,4,0.00
hungary__to__va,isotonic,0,4,0.00
hungary__to__va,platt,0,4,0.00
hungary__to__va,temperature,0,4,0.00
kaggle__to__cleveland,intercept_only,3,8,37.50
kaggle__to__cleveland,intercept_slope,8,8,100.00
kaggle__to__cleveland,isotonic,8,8,100.00
kaggle__to__cleveland,platt,8,8,100.00
kaggle__to__cleveland,temperature,8,8,100.00
kaggle__to__cleveland+hungary+switzerland+va,intercept_only,0,8,0.00
kaggle__to__cleveland+hungary+switzerland+va,intercept_slope,8,8,100.00
kaggle__to__cleveland+hungary+switzerland+va,isotonic,8,8,100.00
kaggle__to__cleveland+hungary+switzerland+va,platt,8,8,100.00
kaggle__to__cleveland+hungary+switzerland+va,temperature,8,8,100.00
kaggle__to__hungary,intercept_only,8,8,100.00
kaggle__to__hungary,intercept_slope,8,8,100.00
kaggle__to__hungary,isotonic,8,8,100.00
kaggle__to__hungary,platt,8,8,100.00
kaggle__to__hungary,temperature,8,8,100.00
kaggle__to__switzerland,intercept_only,8,8,100.00
kaggle__to__switzerland,intercept_slope,8,8,100.00
kaggle__to__switzerland,isotonic,8,8,100.00
kaggle__to__switzerland,platt,8,8,100.00
kaggle__to__switzerland,temperature,8,8,100.00
kaggle__to__va,intercept_only,1,8,12.50
kaggle__to__va,intercept_slope,0,8,0.00
kaggle__to__va,isotonic,1,8,12.50
kaggle__to__va,platt,0,8,0.00
kaggle__to__va,temperature,4,8,50.00
switzerland__to__cleveland,intercept_only,3,4,75.00
switzerland__to__cleveland,intercept_slope,4,4,100.00
switzerland__to__cleveland,isotonic,4,4,100.00
switzerland__to__cleveland,platt,4,4,100.00
switzerland__to__cleveland,temperature,4,4,100.00
switzerland__to__hungary,intercept_only,4,4,100.00
switzerland__to__hungary,intercept_slope,4,4,100.00
switzerland__to__hungary,isotonic,4,4,100.00
switzerland__to__hungary,platt,4,4,100.00
switzerland__to__hungary,temperature,4,4,100.00
switzerland__to__kaggle,intercept_only,0,8,0.00
switzerland__to__kaggle,intercept_slope,8,8,100.00
switzerland__to__kaggle,isotonic,8,8,100.00
switzerland__to__kaggle,platt,8,8,100.00
switzerland__to__kaggle,temperature,6,8,75.00
switzerland__to__va,intercept_only,0,4,0.00
switzerland__to__va,intercept_slope,3,4,75.00
switzerland__to__va,isotonic,3,4,75.00
switzerland__to__va,platt,3,4,75.00
switzerland__to__va,temperature,3,4,75.00
va__to__cleveland,intercept_only,3,4,75.00
va__to__cleveland,intercept_slope,4,4,100.00
va__to__cleveland,isotonic,4,4,100.00
va__to__cleveland,platt,3,4,75.00
va__to__cleveland,temperature,3,4,75.00
va__to__hungary,intercept_only,3,4,75.00
va__to__hungary,intercept_slope,4,4,100.00
va__to__hungary,isotonic,4,4,100.00
va__to__hungary,platt,3,4,75.00
va__to__hungary,temperature,2,4,50.00
va__to__kaggle,intercept_only,0,8,0.00
va__to__kaggle,intercept_slope,6,8,75.00
va__to__kaggle,isotonic,7,8,87.50
va__to__kaggle,platt,7,8,87.50
va__to__kaggle,temperature,6,8,75.00
va__to__switzerland,intercept_only,4,4,100.00
va__to__switzerland,intercept_slope,4,4,100.00
va__to__switzerland,isotonic,4,4,100.00
va__to__switzerland,platt,4,4,100.00
va__to__switzerland,temperature,3,4,75.00
