model_family,method,n,improved,degraded,brier_delta_mean,ece_delta_mean,mce_delta_mean,pct_improved,pct_degraded
linear,intercept_only,36,14,8,-0.0317,-0.0525,-0.0617,38.9000,22.2000
linear,intercept_slope,36,31,4,-0.1067,-0.1990,-0.1791,86.1000,11.1000
linear,isotonic,36,31,3,-0.1162,-0.2218,-0.1863,86.1000,8.3000
linear,platt,36,31,4,-0.0961,-0.2096,-0.3154,86.1000,11.1000
linear,temperature,36,31,0,-0.0705,-0.1345,-0.1432,86.1000,0.0000
tree,intercept_only,108,48,22,-0.0275,-0.0486,-0.0406,44.4000,20.4000
tree,intercept_slope,108,88,16,-0.0646,-0.1496,-0.1956,81.5000,14.8000
tree,isotonic,108,90,16,-0.0663,-0.1674,-0.1370,83.3000,14.8000
tree,platt,108,88,13,-0.0589,-0.1416,-0.3022,81.5000,12.0000
tree,temperature,108,73,11,-0.0334,-0.0763,-0.1358,67.6000,10.2000
