train_sites,test_site,model,experiment_type,auc_drop,brier_change
cleveland+hungary+switzerland,va,lgbm,external_uci,0.083364,0.006878
cleveland+hungary+switzerland,va,lr,external_uci,-0.071129,-0.001389
cleveland+hungary+switzerland,va,rf,external_uci,0.081984,0.014082
cleveland+hungary+switzerland,va,xgb,external_uci,0.004916,0.027698
cleveland+hungary+va,switzerland,lgbm,external_uci,0.055000,0.117906
cleveland+hungary+va,switzerland,lr,external_uci,-0.010217,0.120177
cleveland+hungary+va,switzerland,rf,external_uci,0.043478,0.086706
cleveland+hungary+va,switzerland,xgb,external_uci,0.002174,0.125655
cleveland+switzerland+va,hungary,lgbm,external_uci,-0.034307,0.098361
cleveland+switzerland+va,hungary,lr,external_uci,0.022541,0.052934
cleveland+switzerland+va,hungary,rf,external_uci,0.005692,0.029621
cleveland+switzerland+va,hungary,xgb,external_uci,-0.054226,0.098726
cleveland,hungary,lgbm,external_uci,-0.010069,0.037529
cleveland,hungary,lr,external_uci,0.009042,0.311530
cleveland,hungary,rf,external_uci,0.012968,0.022001
cleveland,hungary,xgb,external_uci,-0.019451,0.041737
cleveland,switzerland,lgbm,external_uci,0.048478,0.135427
cleveland,switzerland,lr,external_uci,-0.008043,0.147718
cleveland,switzerland,rf,external_uci,0.057609,0.092071
cleveland,switzerland,xgb,external_uci,0.011957,0.139643
cleveland,va,lgbm,external_uci,0.098695,-0.001784
cleveland,va,lr,external_uci,-0.119951,0.014319
cleveland,va,rf,external_uci,0.076063,0.015226
cleveland,va,xgb,external_uci,0.037026,0.016254
hungary+switzerland+va,cleveland,lgbm,external_uci,-0.091600,0.165924
hungary+switzerland+va,cleveland,lr,external_uci,-0.176706,0.444897
hungary+switzerland+va,cleveland,rf,external_uci,-0.119109,0.111806
hungary+switzerland+va,cleveland,xgb,external_uci,-0.085401,0.167339
hungary,cleveland,lgbm,external_uci,-0.092522,0.064324
hungary,cleveland,lr,external_uci,-0.092700,0.328946
hungary,cleveland,rf,external_uci,-0.107265,0.055967
hungary,cleveland,xgb,external_uci,-0.098254,0.061918
hungary,switzerland,lgbm,external_uci,0.032717,0.167066
hungary,switzerland,lr,external_uci,0.037609,0.287667
hungary,switzerland,rf,external_uci,0.051087,0.074420
hungary,switzerland,xgb,external_uci,-0.027174,0.164994
hungary,va,lgbm,external_uci,0.080139,0.052332
hungary,va,lr,external_uci,-0.077183,0.056921
hungary,va,rf,external_uci,0.065601,0.024550
hungary,va,xgb,external_uci,0.011233,0.041872
switzerland,cleveland,lgbm,external_uci,-0.197101,0.269361
switzerland,cleveland,lr,external_uci,-0.161352,0.390262
switzerland,cleveland,rf,external_uci,-0.182234,0.111816
switzerland,cleveland,xgb,external_uci,-0.184672,0.256991
switzerland,hungary,lgbm,external_uci,-0.154163,0.305639
switzerland,hungary,lr,external_uci,-0.012912,0.424450
switzerland,hungary,rf,external_uci,-0.116171,0.105830
switzerland,hungary,xgb,external_uci,-0.137175,0.279899
switzerland,va,lgbm,external_uci,-0.110083,0.055483
switzerland,va,lr,external_uci,-0.098304,0.041483
switzerland,va,rf,external_uci,-0.059613,0.030676
switzerland,va,xgb,external_uci,-0.088056,0.067240
va,cleveland,lgbm,external_uci,-0.142794,0.149911
va,cleveland,lr,external_uci,-0.177013,0.343638
va,cleveland,rf,external_uci,-0.136524,0.086185
va,cleveland,xgb,external_uci,-0.133457,0.132783
va,hungary,lgbm,external_uci,-0.035511,0.080227
va,hungary,lr,external_uci,0.025551,0.221522
va,hungary,rf,external_uci,-0.003290,0.039859
va,hungary,xgb,external_uci,-0.043362,0.085372
va,switzerland,lgbm,external_uci,-0.064565,0.060983
va,switzerland,lr,external_uci,0.033261,0.033920
va,switzerland,rf,external_uci,-0.023913,0.148182
va,switzerland,xgb,external_uci,-0.056522,0.064836
cleveland+hungary+switzerland+va,kaggle,lgbm,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,lr,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,rf,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,xgb,external_kaggle_uci,,
cleveland,kaggle,lgbm,external_kaggle_uci,,
cleveland,kaggle,lr,external_kaggle_uci,,
cleveland,kaggle,rf,external_kaggle_uci,,
cleveland,kaggle,xgb,external_kaggle_uci,,
hungary,kaggle,lgbm,external_kaggle_uci,,
hungary,kaggle,lr,external_kaggle_uci,,
hungary,kaggle,rf,external_kaggle_uci,,
hungary,kaggle,xgb,external_kaggle_uci,,
kaggle,cleveland,lgbm,external_kaggle_uci,,
kaggle,cleveland,lr,external_kaggle_uci,,
kaggle,cleveland,rf,external_kaggle_uci,,
kaggle,cleveland,xgb,external_kaggle_uci,,
kaggle,hungary,lgbm,external_kaggle_uci,,
kaggle,hungary,lr,external_kaggle_uci,,
kaggle,hungary,rf,external_kaggle_uci,,
kaggle,hungary,xgb,external_kaggle_uci,,
kaggle,switzerland,lgbm,external_kaggle_uci,,
kaggle,switzerland,lr,external_kaggle_uci,,
kaggle,switzerland,rf,external_kaggle_uci,,
kaggle,switzerland,xgb,external_kaggle_uci,,
kaggle,va,lgbm,external_kaggle_uci,,
kaggle,va,lr,external_kaggle_uci,,
kaggle,va,rf,external_kaggle_uci,,
kaggle,va,xgb,external_kaggle_uci,,
switzerland,kaggle,lgbm,external_kaggle_uci,,
switzerland,kaggle,lr,external_kaggle_uci,,
switzerland,kaggle,rf,external_kaggle_uci,,
switzerland,kaggle,xgb,external_kaggle_uci,,
va,kaggle,lgbm,external_kaggle_uci,,
va,kaggle,lr,external_kaggle_uci,,
va,kaggle,rf,external_kaggle_uci,,
va,kaggle,xgb,external_kaggle_uci,,
