experiment_type,train_sites,test_site,model,brier_score,ece,mce
external_kaggle_uci,cleveland,kaggle,lgbm,0.2801805136481167,0.1809175505776853,0.5822001504104197
external_kaggle_uci,cleveland,kaggle,lr,0.2650077956317439,0.16016698184635314,0.2654365959511805
external_kaggle_uci,cleveland,kaggle,rf,0.2539350353926415,0.12995853163107457,0.4349764951965197
external_kaggle_uci,cleveland,kaggle,xgb,0.2684559226036072,0.15625260166282467,0.3094467367208174
external_kaggle_uci,cleveland+hungary+switzerland+va,kaggle,lgbm,0.26241436628347276,0.1599390203930966,0.4760539045317138
external_kaggle_uci,cleveland+hungary+switzerland+va,kaggle,lr,0.2724826856164798,0.17805024129091224,0.30672574934213237
external_kaggle_uci,cleveland+hungary+switzerland+va,kaggle,rf,0.26118615981235077,0.14230574642629487,0.37869726462402
external_kaggle_uci,cleveland+hungary+switzerland+va,kaggle,xgb,0.26033058762550354,0.15622086382820624,0.37755040834058795
external_kaggle_uci,hungary,kaggle,lgbm,0.29224884377086113,0.24093041846409566,0.37025731724682814
external_kaggle_uci,hungary,kaggle,lr,0.2667120905431792,0.1390730297192867,0.1390730297192867
external_kaggle_uci,hungary,kaggle,rf,0.2463083034536476,0.15292808756554546,0.2566661694035574
external_kaggle_uci,hungary,kaggle,xgb,0.28908056020736694,0.21412967307201417,0.410899239262258
external_kaggle_uci,kaggle,cleveland,lgbm,0.28008125875132345,0.18904639500756162,0.42016469925040945
external_kaggle_uci,kaggle,cleveland,lr,0.2712687788211046,0.16166942259215136,0.34245105522045394
external_kaggle_uci,kaggle,cleveland,rf,0.28037867892819834,0.18856575168869222,0.32883212528203126
external_kaggle_uci,kaggle,cleveland,xgb,0.28363218903541565,0.19905848245416147,0.4090953469276428
external_kaggle_uci,kaggle,cleveland+hungary+switzerland+va,lgbm,0.2881938286214465,0.19106638748153806,0.42204481384217074
external_kaggle_uci,kaggle,cleveland+hungary+switzerland+va,lr,0.26357056926282474,0.13240182099576026,0.3787474943855379
external_kaggle_uci,kaggle,cleveland+hungary+switzerland+va,rf,0.27088907862269057,0.16727566038362363,0.29864439732115067
external_kaggle_uci,kaggle,cleveland+hungary+switzerland+va,xgb,0.2775416672229767,0.17529811373223428,0.43686753511428833
external_kaggle_uci,kaggle,hungary,lgbm,0.298419953228101,0.2338096561742053,0.42114887327174094
external_kaggle_uci,kaggle,hungary,lr,0.2710322216502618,0.20502947510071542,0.502046036241236
external_kaggle_uci,kaggle,hungary,rf,0.28611797098463826,0.21837829330137598,0.41420947253138274
external_kaggle_uci,kaggle,hungary,xgb,0.29721081256866455,0.23806864908915396,0.41207274246741743
external_kaggle_uci,kaggle,switzerland,lgbm,0.3077934215326982,0.41467563968360327,0.854759482982668
external_kaggle_uci,kaggle,switzerland,lr,0.29052363385308705,0.4090451672873927,0.7784252924247415
external_kaggle_uci,kaggle,switzerland,rf,0.2741408154577375,0.3958811315698934,0.7574033396975257
external_kaggle_uci,kaggle,switzerland,xgb,0.2937718331813812,0.39785086502873795,0.8437059462070465
external_kaggle_uci,kaggle,va,lgbm,0.27339821916248097,0.2503624883035668,0.4785426908243181
external_kaggle_uci,kaggle,va,lr,0.22436301804948705,0.16483789775822316,0.9997339272376421
external_kaggle_uci,kaggle,va,rf,0.2321260442342293,0.18585071113168614,0.4410698100271393
external_kaggle_uci,kaggle,va,xgb,0.22941936552524567,0.15963619859889147,0.47950236996014917
external_kaggle_uci,switzerland,kaggle,lgbm,0.4592932871195865,0.4608582425772243,0.4849210407745337
external_kaggle_uci,switzerland,kaggle,lr,0.45505750557433283,0.45460607810180914,0.4546080728963195
external_kaggle_uci,switzerland,kaggle,rf,0.2491772942287517,0.10177690618402264,0.30635335304128625
external_kaggle_uci,switzerland,kaggle,xgb,0.4606820344924927,0.45730453588935116,0.5124196597367279
external_kaggle_uci,va,kaggle,lgbm,0.2769396662571358,0.2120364458952392,0.29991925062407465
external_kaggle_uci,va,kaggle,lr,0.275753232492636,0.18323254282602622,0.5005852935199471
external_kaggle_uci,va,kaggle,rf,0.2319331087272604,0.06624045839128924,0.23408762540340788
external_kaggle_uci,va,kaggle,xgb,0.26742106676101685,0.20222892470223539,0.4522131035342606
external_uci,cleveland,hungary,lgbm,0.15038263119567857,0.15722335854278405,0.31343327717986824
external_uci,cleveland,hungary,lr,0.44415083678966377,0.5049945832495715,0.776296616656806
external_uci,cleveland,hungary,rf,0.1552846703417359,0.17030029506373717,0.25675489816194036
external_uci,cleveland,hungary,xgb,0.1555090844631195,0.1622785619479053,0.2628819698637182
external_uci,cleveland,switzerland,lgbm,0.19872005305445542,0.3368908196586014,0.6406854222123632
external_uci,cleveland,switzerland,lr,0.21082352986027833,0.31304235953030846,0.739813111280376
external_uci,cleveland,switzerland,rf,0.17559884953152843,0.3131896714919643,0.917218746705619
external_uci,cleveland,switzerland,xgb,0.19708915054798126,0.33289611109388556,0.7958312481641769
external_uci,cleveland,va,lgbm,0.17151604372165127,0.09108985386879537,0.38376041583465337
external_uci,cleveland,va,lr,0.19821311625489257,0.16826838798155636,0.31252884461679864
external_uci,cleveland,va,rf,0.17768581691684354,0.10615525047798098,0.26075853461788234
external_uci,cleveland,va,xgb,0.17088432610034943,0.05592929229140278,0.2504372298717499
external_uci,cleveland+hungary+switzerland,va,lgbm,0.18017889486721955,0.10219367112934614,0.22513727958477264
external_uci,cleveland+hungary+switzerland,va,lr,0.18250495355329033,0.1204282550394463,0.41363472585292393
external_uci,cleveland+hungary+switzerland,va,rf,0.1765417027658252,0.11898100505717983,0.22977518445393758
external_uci,cleveland+hungary+switzerland,va,xgb,0.1823280155658722,0.11159498095512392,0.37258619882843713
external_uci,cleveland+hungary+va,switzerland,lgbm,0.18119953491050445,0.3180487282254836,0.64540982441321
external_uci,cleveland+hungary+va,switzerland,lr,0.18328257149822047,0.30321896925840686,0.6367891791899685
external_uci,cleveland+hungary+va,switzerland,rf,0.17023361896760672,0.32008145902981405,0.9364798605028624
external_uci,cleveland+hungary+va,switzerland,xgb,0.18310114741325378,0.32107753021930296,0.6363535523414612
external_uci,cleveland+va+switzerland,hungary,lgbm,0.2112143926295477,0.24060132585951383,0.38617819929816255
external_uci,cleveland+va+switzerland,hungary,lr,0.1855549150873287,0.24508727614665793,0.3766869049018617
external_uci,cleveland+va+switzerland,hungary,rf,0.16290524774241907,0.1649931147589674,0.2653536506017804
external_uci,cleveland+va+switzerland,hungary,xgb,0.21249844133853912,0.2344905306287363,0.3795004505099672
external_uci,hungary,cleveland,lgbm,0.15544919728826728,0.08740127837471626,0.19158572052629186
external_uci,hungary,cleveland,lr,0.41165867611419077,0.42847371202875284,0.863691118547079
external_uci,hungary,cleveland,rf,0.16001354396332232,0.11789390039123267,0.24574098730384722
external_uci,hungary,cleveland,xgb,0.15832895040512085,0.06818625773533736,0.174879579708494
external_uci,hungary,switzerland,lgbm,0.2303596533656918,0.38453645923436014,0.7916648569643703
external_uci,hungary,switzerland,lr,0.35077212675249614,0.5418725193861315,0.5453662292116002
external_uci,hungary,switzerland,rf,0.15794834984379885,0.30785603870734013,0.9228431432308136
external_uci,hungary,switzerland,xgb,0.22244034707546234,0.3624161376155974,0.7553793638944626
external_uci,hungary,va,lgbm,0.2256328062996535,0.23383870258336104,0.42931074173969147
external_uci,hungary,va,lr,0.24081458457703867,0.27484262733472187,0.4398776374194885
external_uci,hungary,va,rf,0.18700925420040956,0.16266757500505602,0.35302431824679525
external_uci,hungary,va,xgb,0.1965021938085556,0.15030501931905746,0.34260495007038116
external_uci,hungary+va+switzerland,cleveland,lgbm,0.257048430474578,0.2797235196305425,0.5027681116942995
external_uci,hungary+va+switzerland,cleveland,lr,0.5276099754165313,0.5327405365954804,0.8456274867997451
external_uci,hungary+va+switzerland,cleveland,rf,0.21585205616133582,0.21156872121886589,0.36935617040072816
external_uci,hungary+va+switzerland,cleveland,xgb,0.2637501358985901,0.2827453266079276,0.5365058779716492
external_uci,switzerland,cleveland,lgbm,0.36048582444619287,0.39889197636362017,0.6005534383287838
external_uci,switzerland,cleveland,lr,0.472975315438141,0.47509759986491096,0.47509759986491096
external_uci,switzerland,cleveland,rf,0.2158628087337818,0.18293382098795366,0.2859694050210454
external_uci,switzerland,cleveland,xgb,0.3534022569656372,0.39185235228869,0.6371724843978882
external_uci,switzerland,hungary,lgbm,0.41849271589072823,0.48126330379898663,0.6886861210920286
external_uci,switzerland,hungary,lr,0.5570700984411562,0.5726004415311852,0.5726004415311852
external_uci,switzerland,hungary,rf,0.239114050243809,0.2788783762169737,0.5235959941389792
external_uci,switzerland,hungary,xgb,0.3936713635921478,0.4622647965035471,0.6788337984175052
external_uci,switzerland,va,lgbm,0.22878313437979372,0.1991893578450103,0.24769166048244196
external_uci,switzerland,va,lr,0.22537725258180216,0.18949256707316464,0.18949256707316464
external_uci,switzerland,va,rf,0.19313534291716614,0.12352258068397644,0.24575465506006855
external_uci,switzerland,va,xgb,0.22186988592147827,0.1935175487399101,0.722903847694397
external_uci,va,cleveland,lgbm,0.2410354176870987,0.23791538894342618,0.4180801272805002
external_uci,va,cleveland,lr,0.42635058457796005,0.44103195415337115,0.7704576714782758
external_uci,va,cleveland,rf,0.19023105854326108,0.15596835706448692,0.21644492327252668
external_uci,va,cleveland,xgb,0.22919416427612305,0.2108185812585031,0.35230021476745604
external_uci,va,hungary,lgbm,0.1930809252362125,0.20699581191881627,0.33710943452690195
external_uci,va,hungary,lr,0.35414257987852465,0.3660451828288517,0.6976353755532546
external_uci,va,hungary,rf,0.17314329661887548,0.17767599112410898,0.28125466955170364
external_uci,va,hungary,xgb,0.19914448261260986,0.21186397128364665,0.3268559413987237
external_uci,va,switzerland,lgbm,0.1242764983819239,0.2249743772674679,0.4665470889829342
external_uci,va,switzerland,lr,0.09702560219045674,0.194088127173209,0.194088127173209
external_uci,va,switzerland,rf,0.23170999391075425,0.40749553685473716,0.5419826360428622
external_uci,va,switzerland,xgb,0.12228182703256607,0.24416640909706674,0.6490025520324707
internal,cleveland,cleveland,lgbm,0.09112487328942424,0.10937762199463283,0.3312715405454032
internal,cleveland,cleveland,lr,0.08271305606405797,0.12678568319361727,0.5134385337261168
internal,cleveland,cleveland,rf,0.10404640383031363,0.1850995807018776,0.44952127807994546
internal,cleveland,cleveland,xgb,0.09641135483980179,0.09410384346227177,0.4105551838874817
internal,hungary,hungary,lgbm,0.1128534814795095,0.16021826719940682,0.31977266708489976
internal,hungary,hungary,lr,0.13262047058724433,0.15651926017851928,0.5276695304581527
internal,hungary,hungary,rf,0.13328404356878235,0.10668476176739052,0.4269956112239892
internal,hungary,hungary,xgb,0.11377239972352982,0.12996170455116338,0.314068078994751
internal,kaggle,kaggle,lgbm,0.18242569890085952,0.008284158836072433,0.0490037869870763
internal,kaggle,kaggle,lr,0.18925814843261482,0.029973265936759825,0.0911654374955001
internal,kaggle,kaggle,rf,0.18289216767522937,0.01197610312062708,0.15317936383290753
internal,kaggle,kaggle,xgb,0.18275831639766693,0.0066165574833753,0.0490107621465411
internal,switzerland,switzerland,lgbm,0.0632932897800699,0.07277014259759557,0.44907242564828176
internal,switzerland,switzerland,lr,0.06310561894187057,0.032374304787040925,0.12670053045464783
internal,switzerland,switzerland,rf,0.08352796510099976,0.14605733895556555,0.5056408642762559
internal,switzerland,switzerland,xgb,0.05744617931544781,0.07164548323551816,0.45415348458290095
internal,va,va,lgbm,0.1733004173421729,0.07900829432922857,0.18762327992682992
internal,va,va,lr,0.1838938103371477,0.005056643611123901,0.005056643611123901
internal,va,va,rf,0.16245944444444443,0.15133333333333338,0.4066666666666667
internal,va,va,xgb,0.15462997555732727,0.1403843693435192,0.3738043010234833
internal_cfs,cleveland,cleveland,lgbm,0.22983236170100704,0.16683736110438668,0.4148606808744139
internal_cfs,cleveland,cleveland,lr,0.2287219996786201,0.09020389792717085,0.17175238884535204
internal_cfs,cleveland,cleveland,rf,0.2163117362676536,0.0963041536576209,0.2669811530547071
internal_cfs,cleveland,cleveland,xgb,0.21373671293258667,0.08234149266461857,0.29438215494155884
internal_cfs,cleveland+hungary+switzerland+va,cleveland+hungary+switzerland+va,lgbm,0.2178662949947601,0.07693843152619505,0.18984007719525547
internal_cfs,cleveland+hungary+switzerland+va,cleveland+hungary+switzerland+va,lr,0.21860732691426127,0.05056784265178518,0.3316927193338854
internal_cfs,cleveland+hungary+switzerland+va,cleveland+hungary+switzerland+va,rf,0.2167329846849839,0.0905819328266848,0.1222273664760693
internal_cfs,cleveland+hungary+switzerland+va,cleveland+hungary+switzerland+va,xgb,0.22132329642772675,0.07830510863467405,0.19460850954055786
internal_cfs,hungary,hungary,lgbm,0.22543636959342275,0.10514585564122157,0.4267263494014654
internal_cfs,hungary,hungary,lr,0.22777320816114585,0.006458501335059985,0.006458501335059985
internal_cfs,hungary,hungary,rf,0.2411703261929692,0.14643492020138038,0.3292653270611246
internal_cfs,hungary,hungary,xgb,0.22825761139392853,0.15342739022384255,0.6607176959514618
internal_cfs,kaggle,kaggle,lgbm,0.1899315343872515,0.008790658622205133,0.02756193128686535
internal_cfs,kaggle,kaggle,lr,0.19533779470311152,0.03116911009496827,0.09852676063017707
internal_cfs,kaggle,kaggle,rf,0.1906491101039589,0.008165954737528276,0.06317224018298029
internal_cfs,kaggle,kaggle,xgb,0.18999511003494263,0.010871814365220807,0.035379543993946605
internal_cfs,switzerland,switzerland,lgbm,0.07922379668993275,0.09235246097851349,0.42519562139865796
internal_cfs,switzerland,switzerland,lr,0.062287245602219474,0.03129552913051241,0.07972642733191009
internal_cfs,switzerland,switzerland,rf,0.14314523941941765,0.2507790749710328,0.48734731018536914
internal_cfs,switzerland,switzerland,xgb,0.07164482206106186,0.07606628481944404,0.2970010305853451
internal_cfs,va,va,lgbm,0.19073857034143318,0.12354475275541342,0.20627979312614025
internal_cfs,va,va,lr,0.18664853102429463,0.006131904723675752,0.006131904723675752
internal_cfs,va,va,rf,0.22772273964157855,0.2253827116243142,0.3784696770496593
internal_cfs,va,va,xgb,0.1706741899251938,0.05828369185328484,0.395658403635025
